Word,Type
Khalid,Person
Kabir,Person
Khizar,Person
Kamran,Person
Kashan,Person
Lajpal,Person
Liaqat,Person
Luqman,Person
Lara,Person
Latif,Person
Labib,Person
Labeeb,Person
Lais,Person
Maaz,Person
Moiz,Person
Meerab,Person
Muhammad,Person
Mane,Person
Mohsin,Person
Mudassar,Person
Mubeen,Person
Noman,Person
Nadeem,Person
Nabeel,Person
Naeem,Person
Naveed,Person
Nihal,Person
Nusrat,Person
Nasir,Person
Owais,Person
Osman,Person
Omar,Person
Ozan,Person
Omair,Person
Omer,Person
Orhan,Person
Othman,Person
Parvaiz,Person
Parsa,Person
Pasha,Person
Payam,Person
Panda,Person
Paris,Person
Pak,Person
Painda,Person
Qasim,Person
Qais,Person
Qaiser,Person
Qureshi,Person
Qaisar,Person
Qamar,Person
Qalandar,Person
Qutub,Person
Rehan,Person
Rohaan,Person
Rayan,Person
Rizwan,Person
Rayyan,Person
Rafay,Person
Riaz,Person
Rahul,Person
Rehan,Person
Rohaan,Person
Rayan,Person
Rizwan,Person
Rayyan,Person
Rafay,Person
Riaz,Person
Rahul,Person
Taimoor,Person
Talha,Person
Taha,Person
Tauseef,Person
Tahir,Person
Tayyab,Person
Tabish,Person
Tabassum,Person
umar,Person
Usman,Person
Umair,Person
Uzair,Person
Usama,Person
Ubaid,Person
umer,Person
Ubaidullah,Person
Vali,Person
Vasam,Person
Vafa,Person
Varqan,Person
Waqas,Person
Waqar,Person
Waseem,Person
Wasim,Person
Waleed,Person
Wahab,Person
Wasif,Person
Wali,Person
Yasir,Person
Yasin,Person
Yusuf,Person
Yousuf,Person
Yazan,Person
Yunus,Person
Yahya,Person
Yazdan,Person
Zayan,Person
Zain,Person
Zeeshan,Person
Zaid,Person
Zubair,Person
Zahid,Person
Zohaib,Person
Zain-ul-'aabideen,Person
Karachi,Place
Lahore,Place
Faisalabad,Place
Rawalpindi,Place
Gujranwala,Place
Peshawar,Place
Multan,Place
Hyderabad,Place
Islamabad,Place
Quetta,Place
Bahawalpur,Place
Sargodha,Place
Sialkot,Place
Sukkur,Place
Larkana,Place
Sheikhupura,Place
Rahim Yar Khan,Place
Jhang,Place
Dera Ghazi Khan,Place
Gujrat,Place
Sahiwal,Place
Wah Cantonment,Place
Mardan,Place
Kasur,Place
Okara,Place
Mingora,Place
Nawabshah,Place
Chiniot,Place
Kotri,Place
Kāmoke,Place
Hafizabad,Place
Sadiqabad,Place
Mirpur Khas,Place
Burewala,Place
Kohat,Place
Khanewal,Place
Dera Ismail Khan,Place
Turbat,Place
Muzaffargarh,Place
Abbotabad,Place
Mandi Bahauddin,Place
Shikarpur,Place
Jacobabad,Place
Jhelum,Place
Khanpur,Place
Khairpur,Place
Khuzdar,Place
Pakpattan,Place
Hub,Place
Daska,Place
Gojra,Place
Dadu,Place
Muridke,Place
Bahawalnagar,Place
Samundri,Place
Tando Allahyar,Place
Tando Adam,Place
Jaranwala,Place
Chishtian,Place
Attock,Place
Vehari,Place
Kot Abdul Malik,Place
Ferozwala,Place
Chakwal,Place
Gujranwala Cantonment,Place
Kamalia,Place
Umerkot,Place
Ahmedpur East,Place
Kot Addu,Place
Wazirabad,Place
Mansehra,Place
Layyah,Place
Swabi,Place
Chaman,Place
Taxila,Place
Nowshera,Place
Khushab,Place
Shahdadkot,Place
Mianwali,Place
Kabal,Place
Lodhran,Place
Hasilpur,Place
Charsadda,Place
Bhakkar,Place
Badin,Place
Arifwala,Place
Ghotki,Place
Sambrial,Place
Jatoi,Place
Haroonabad,Place
Daharki,Place
Narowal,Place
Tando Muhammad Khan,Place
Kamber Ali Khan,Place
Mirpur Mathelo,Place
Kandhkot,Place
Bhalwal,Place
India,Country
Pakistan,Country
Pakistani,Nationality
Urdu, Language
English,Language
Persian,Language
Turkish,Language
Malika-E-Tarannum,Laqab
